uid,category_str,count
WOS:000243739700024,freshwater,1
WOS:000243743700016,wwt,1
WOS:000244070900002,"terrestrial,freshwater",2
WOS:000244392000004,"terrestrial,marine",2
WOS:000244467500036,wwt,1
WOS:000244629100010,"terrestrial,freshwater",2
WOS:000244883800015,wwt,1
WOS:000244992800019,freshwater,1
WOS:000245168000035,terrestrial,1
WOS:000245171400018,wwt,1
WOS:000245576300028,wwt,1
WOS:000245721800003,wwt,1
WOS:000245760300023,terrestrial,1
WOS:000246092100014,wwt,1
WOS:000246353300003,"terrestrial,marine",2
WOS:000246430500028,"terrestrial,freshwater,marine",3
WOS:000246454100014,wwt,1
WOS:000246491700006,wwt,1
WOS:000246588200006,wwt,1
WOS:000246708800004,wwt,1
WOS:000246732500012,wwt,1
WOS:000247169300018,wwt,1
WOS:000247294500003,"wwt,marine",2
WOS:000247382700011,wwt,1
WOS:000247571100001,terrestrial,1
WOS:000247585800012,wwt,1
WOS:000247607300010,terrestrial,1
WOS:000247896100016,wwt,1
WOS:000247960300009,wwt,1
WOS:000248266100001,"freshwater,marine",2
WOS:000248782300013,wwt,1
WOS:000248960500013,wwt,1
WOS:000249202500007,wwt,1
WOS:000249346400004,"terrestrial,freshwater,marine",3
WOS:000249550400021,wwt,1
WOS:000249693500008,terrestrial,1
WOS:000249916600031,"freshwater,marine",2
WOS:000249984400008,wwt,1
WOS:000249990400005,wwt,1
WOS:000250021400007,wwt,1
WOS:000250074700003,wwt,1
WOS:000250115200018,wwt,1
WOS:000250125800018,wwt,1
WOS:000250216900002,wwt,1
WOS:000250216900012,wwt,1
WOS:000250238500004,wwt,1
WOS:000250553500006,terrestrial,1
WOS:000250713700013,terrestrial,1
WOS:000250813200012,wwt,1
WOS:000250960600011,wwt,1
WOS:000251448300005,wwt,1
WOS:000251600300002,terrestrial,1
WOS:000251627300008,wwt,1
WOS:000251639800019,wwt,1
WOS:000251931600014,wwt,1
WOS:000252320800007,wwt,1
WOS:000252443000009,wwt,1
WOS:000252769500007,wwt,1
WOS:000253129900001,marine,1
WOS:000253298900001,"terrestrial,freshwater,marine",3
WOS:000253298900002,"terrestrial,freshwater,marine",3
WOS:000253299300001,freshwater,1
WOS:000253512200004,wwt,1
WOS:000253514700013,"terrestrial,freshwater",2
WOS:000253792700027,wwt,1
WOS:000254098000009,terrestrial,1
WOS:000254115500003,terrestrial,1
WOS:000254649300052,terrestrial,1
WOS:000254754800010,marine,1
WOS:000254768000012,marine,1
WOS:000254814300032,"wwt,freshwater",2
WOS:000255109900056,wwt,1
WOS:000255109900057,wwt,1
WOS:000255321100004,wwt,1
WOS:000255454300042,"terrestrial,marine",2
WOS:000255663400003,wwt,1
WOS:000255663400004,wwt,1
WOS:000255681600002,wwt,1
WOS:000255883600014,wwt,1
WOS:000256236200014,wwt,1
WOS:000256245900226,terrestrial,1
WOS:000256335400001,wwt,1
WOS:000256335400002,wwt,1
WOS:000256460400028,terrestrial,1
WOS:000256569600003,wwt,1
WOS:000256654600024,wwt,1
WOS:000256754000004,wwt,1
WOS:000256961300002,"wwt,terrestrial",2
WOS:000256971200010,"freshwater,marine",2
WOS:000257051900012,wwt,1
WOS:000257446900025,terrestrial,1
WOS:000257446900035,"terrestrial,freshwater",2
WOS:000257464500018,wwt,1
WOS:000257616100042,terrestrial,1
WOS:000257620000017,"terrestrial,freshwater",2
WOS:000257649100038,"wwt,freshwater",2
WOS:000257715500008,wwt,1
WOS:000257911500016,wwt,1
WOS:000257982400018,wwt,1
WOS:000257993800014,wwt,1
WOS:000258267700007,wwt,1
WOS:000258439600022,freshwater,1
WOS:000258485600008,wwt,1
WOS:000258485600023,wwt,1
WOS:000258732500011,terrestrial,1
WOS:000258870200019,marine,1
WOS:000259147900020,"wwt,terrestrial,freshwater",3
WOS:000259182800009,wwt,1
WOS:000259417800019,terrestrial,1
WOS:000259512900008,wwt,1
WOS:000259522800020,wwt,1
WOS:000259753000019,wwt,1
WOS:000259781400004,wwt,1
WOS:000259866800019,"terrestrial,marine",2
WOS:000260016200010,"wwt,marine",2
WOS:000260016200023,wwt,1
WOS:000260051300025,wwt,1
WOS:000260102500046,terrestrial,1
WOS:000260113200019,wwt,1
WOS:000260723000031,wwt,1
WOS:000261127900003,wwt,1
WOS:000261286500007,terrestrial,1
WOS:000261579500021,terrestrial,1
WOS:000261877900030,terrestrial,1
WOS:000261895500019,wwt,1
WOS:000262413800025,freshwater,1
WOS:000262483500039,"terrestrial,freshwater,marine",3
WOS:000262571700014,"wwt,freshwater",2
WOS:000262704300012,wwt,1
WOS:000262750000013,wwt,1
WOS:000263152300060,"wwt,terrestrial,freshwater",3
WOS:000263435800015,wwt,1
WOS:000263481000012,terrestrial,1
WOS:000263595500022,wwt,1
WOS:000263617600010,wwt,1
WOS:000263714300003,freshwater,1
WOS:000263772800009,wwt,1
WOS:000263785300008,wwt,1
WOS:000263933200001,wwt,1
WOS:000264089300004,terrestrial,1
WOS:000264277600006,terrestrial,1
WOS:000264344000004,wwt,1
WOS:000264549400036,wwt,1
WOS:000264936800025,wwt,1
WOS:000265040700010,terrestrial,1
WOS:000265170300005,"terrestrial,marine",2
WOS:000265505400002,"freshwater,marine",2
WOS:000265787500005,"wwt,freshwater",2
WOS:000266468500010,wwt,1
WOS:000266530600002,"terrestrial,marine",2
WOS:000266752200024,wwt,1
WOS:000266782300006,terrestrial,1
WOS:000266924700002,wwt,1
WOS:000267090500008,terrestrial,1
WOS:000267267000048,"wwt,freshwater",2
WOS:000267312900009,wwt,1
WOS:000267586200039,"terrestrial,freshwater",2
WOS:000267882000003,wwt,1
WOS:000267885100004,marine,1
WOS:000268014200007,"freshwater,marine",2
WOS:000268138000038,"terrestrial,freshwater",2
WOS:000268138000045,wwt,1
WOS:000268232700003,wwt,1
WOS:000268376100014,wwt,1
WOS:000268589400007,marine,1
WOS:000269849000001,wwt,1
WOS:000270629500013,wwt,1
WOS:000270913300016,wwt,1
WOS:000271005300024,wwt,1
WOS:000271272900013,terrestrial,1
WOS:000271439600017,wwt,1
WOS:000271526800012,terrestrial,1
WOS:000271664600031,"wwt,freshwater",2
WOS:000272452900005,wwt,1
WOS:000272500800003,wwt,1
WOS:000272582500019,wwt,1
WOS:000272830700020,wwt,1
WOS:000272917200045,wwt,1
WOS:000273001700020,wwt,1
WOS:000273120100006,marine,1
WOS:000273182500009,wwt,1
WOS:000273383300002,freshwater,1
WOS:000273447500011,freshwater,1
WOS:000274271400008,wwt,1
WOS:000274707600031,wwt,1
WOS:000274769500058,terrestrial,1
WOS:000275379300057,freshwater,1
WOS:000275563200012,"wwt,terrestrial",2
WOS:000275644500067,wwt,1
WOS:000275706600027,wwt,1
WOS:000275766400016,wwt,1
WOS:000275999800029,wwt,1
WOS:000276125500017,wwt,1
WOS:000276189600013,marine,1
WOS:000276857300018,wwt,1
WOS:000276973400018,wwt,1
WOS:000277000300010,wwt,1
WOS:000277347400018,marine,1
WOS:000277732700002,wwt,1
WOS:000277746500001,wwt,1
WOS:000277817300007,wwt,1
WOS:000277882000022,wwt,1
WOS:000277939200021,"terrestrial,freshwater",2
WOS:000278357700036,marine,1
WOS:000278415300007,wwt,1
WOS:000278617000047,"wwt,terrestrial,freshwater",3
WOS:000279200600035,wwt,1
