uid,category_str,count
WOS:000072708500001,"freshwater,marine",2
WOS:000072718300004,marine,1
WOS:000072723300002,"terrestrial,freshwater",2
WOS:000072723300003,freshwater,1
WOS:000072723300004,"terrestrial,freshwater,marine",3
WOS:000072723300005,terrestrial,1
WOS:000072723300006,terrestrial,1
WOS:000072723300007,"terrestrial,freshwater,agriculture",3
WOS:000072723300009,"terrestrial,freshwater",2
WOS:000072723300017,terrestrial,1
WOS:000072723300027,"terrestrial,freshwater",2
WOS:000072723300028,wwt,1
WOS:000072746500007,"terrestrial,agriculture",2
WOS:000072758000003,freshwater,1
WOS:000072784700008,terrestrial,1
WOS:000072786100008,marine,1
WOS:000072786600004,terrestrial,1
WOS:000072786600007,terrestrial,1
WOS:000072793500003,wwt,1
WOS:000072793500008,wwt,1
WOS:000072822100010,freshwater,1
WOS:000072837300024,freshwater,1
WOS:000072842900004,terrestrial,1
WOS:000072847900003,terrestrial,1
WOS:000072847900010,terrestrial,1
WOS:000072847900015,terrestrial,1
WOS:000072847900016,terrestrial,1
WOS:000072847900017,terrestrial,1
WOS:000072853400015,terrestrial,1
WOS:000072853500002,terrestrial,1
WOS:000072855500006,terrestrial,1
WOS:000072855500015,terrestrial,1
WOS:000072855500031,terrestrial,1
WOS:000072855500038,terrestrial,1
WOS:000072855500040,terrestrial,1
WOS:000072864900003,freshwater,1
WOS:000072871100003,terrestrial,1
WOS:000072871100004,terrestrial,1
WOS:000072871100006,terrestrial,1
WOS:000072871100009,terrestrial,1
WOS:000072873300009,"freshwater,marine",2
WOS:000072877900012,terrestrial,1
WOS:000072885300015,freshwater,1
WOS:000072885600008,"terrestrial,freshwater",2
WOS:000072887300005,"terrestrial,marine",2
WOS:000072891300007,terrestrial,1
WOS:000072891300010,terrestrial,1
WOS:000072891300019,terrestrial,1
WOS:000072897800005,freshwater,1
WOS:000072897800006,freshwater,1
WOS:000072898900001,marine,1
WOS:000072898900006,wwt,1
WOS:000072900800004,marine,1
WOS:000072907600007,"freshwater,marine",2
WOS:000072917100016,freshwater,1
WOS:000072917100017,freshwater,1
WOS:000072917100023,"terrestrial,freshwater",2
WOS:000072917100032,freshwater,1
WOS:000072917100033,freshwater,1
WOS:000072917100042,freshwater,1
WOS:000072917100045,freshwater,1
WOS:000072917100046,freshwater,1
WOS:000072918500006,terrestrial,1
WOS:000072925900002,freshwater,1
WOS:000072925900008,"terrestrial,freshwater",2
WOS:000072925900015,terrestrial,1
WOS:000072925900016,"terrestrial,freshwater",2
WOS:000072953600002,terrestrial,1
WOS:000072953600003,"terrestrial,agriculture",2
WOS:000072953600004,terrestrial,1
WOS:000072953600007,terrestrial,1
WOS:000072953600008,terrestrial,1
WOS:000072953600009,terrestrial,1
WOS:000072953600010,terrestrial,1
WOS:000072953600011,terrestrial,1
WOS:000072953600012,terrestrial,1
WOS:000072953600014,terrestrial,1
WOS:000072953600015,terrestrial,1
WOS:000072953600017,terrestrial,1
WOS:000072953600018,terrestrial,1
WOS:000072953600019,terrestrial,1
WOS:000072953600021,terrestrial,1
WOS:000072958100010,freshwater,1
WOS:000072971800001,freshwater,1
WOS:000072972300003,terrestrial,1
WOS:000072974200023,wwt,1
WOS:000072984200005,"terrestrial,freshwater",2
WOS:000072984200006,freshwater,1
WOS:000073029100019,marine,1
WOS:000073032500014,terrestrial,1
WOS:000073038600007,freshwater,1
WOS:000073040200002,freshwater,1
WOS:000073060300010,terrestrial,1
WOS:000073093300004,"terrestrial,freshwater",2
WOS:000073111700009,terrestrial,1
WOS:000073135400002,terrestrial,1
WOS:000073135400012,terrestrial,1
WOS:000073135500006,terrestrial,1
WOS:000073145500009,terrestrial,1
WOS:000073147100005,freshwater,1
WOS:000073147100008,"freshwater,marine",2
WOS:000073147100009,"terrestrial,freshwater",2
WOS:000073147100010,"terrestrial,freshwater",2
WOS:000073147100014,freshwater,1
WOS:000073147100021,"terrestrial,freshwater",2
WOS:000073147100027,"wwt,freshwater,marine",3
WOS:000073147100028,freshwater,1
WOS:000073147100029,"terrestrial,freshwater",2
WOS:000073147100033,"freshwater,marine",2
WOS:000073155100004,terrestrial,1
WOS:000073158000008,terrestrial,1
WOS:000073164500005,"wwt,marine",2
WOS:000073168500035,freshwater,1
WOS:000073169000008,terrestrial,1
WOS:000073175200015,terrestrial,1
WOS:000073200200011,"terrestrial,freshwater",2
WOS:000073234900018,terrestrial,1
WOS:000073242700007,terrestrial,1
WOS:000073250600003,"terrestrial,freshwater,marine",3
WOS:000073256000012,terrestrial,1
WOS:000073256100008,agriculture,1
WOS:000073256100014,"terrestrial,agriculture",2
WOS:000073260000004,terrestrial,1
WOS:000073261900002,terrestrial,1
WOS:000073263100006,terrestrial,1
WOS:000073263100009,terrestrial,1
WOS:000073267000011,freshwater,1
WOS:000073273500003,"freshwater,agriculture",2
WOS:000073273500017,"terrestrial,agriculture",2
WOS:000073288800011,terrestrial,1
WOS:000073313000003,terrestrial,1
WOS:000073313000008,terrestrial,1
WOS:000073313000010,terrestrial,1
WOS:000073313000017,terrestrial,1
WOS:000073313000019,terrestrial,1
WOS:000073319700012,terrestrial,1
WOS:000073319700019,terrestrial,1
WOS:000073321900018,"terrestrial,freshwater",2
WOS:000073341000003,"terrestrial,marine",2
WOS:000073345300006,terrestrial,1
WOS:000073346600009,freshwater,1
WOS:000073346600023,freshwater,1
WOS:000073350600001,terrestrial,1
WOS:000073352500023,terrestrial,1
WOS:000073371600002,"terrestrial,freshwater",2
WOS:000073371600005,"terrestrial,freshwater",2
WOS:000073383700033,"wwt,terrestrial",2
WOS:000073383700037,wwt,1
WOS:000073383700042,"wwt,freshwater",2
WOS:000073392600009,terrestrial,1
WOS:000073398000008,terrestrial,1
WOS:000073400100008,terrestrial,1
WOS:000073404500001,wwt,1
WOS:000073406200001,freshwater,1
WOS:000073407400010,freshwater,1
WOS:000073407700003,marine,1
WOS:000073407700011,"terrestrial,freshwater",2
WOS:000073407700015,"freshwater,marine",2
WOS:000073416000003,"terrestrial,freshwater",2
WOS:000073418600007,freshwater,1
WOS:000073429300011,freshwater,1
WOS:000073429300013,freshwater,1
WOS:000073432500004,"terrestrial,freshwater",2
WOS:000073447900007,freshwater,1
WOS:000073447900030,freshwater,1
WOS:000073449900016,terrestrial,1
WOS:000073460100003,"freshwater,marine",2
WOS:000073460100012,"terrestrial,marine",2
WOS:000073489000008,terrestrial,1
WOS:000073489000009,terrestrial,1
WOS:000073521200006,"terrestrial,freshwater",2
WOS:000073521200010,terrestrial,1
WOS:000073525400011,terrestrial,1
WOS:000073526800003,terrestrial,1
WOS:000073526800016,terrestrial,1
WOS:000073526800025,terrestrial,1
